#TYPE Selected.System.Management.Automation.PSCustomObject
"COMName","PSVersion","ExecutionPolicy","WinRMStatus","NetFXVersion"
"shhwsr0009.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"shhwsr0010.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"shhwsr0011.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"shhwsr0012.global.schindler.com","2.0","Unrestricted","Running","4.6.01055"
"shhwsr0013.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"shhwsr0014.global.schindler.com","4.0","RemoteSigned","Running","4.6.01590"
"shhwsr0015.global.schindler.com","2.0","Unrestricted","Running","4.5.51209"
"SHHWSR0021.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"shhwsr0022.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0023.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0024.global.schindler.com","3.0","Unrestricted","Running","4.5.51209"
"shhwsr0025.global.schindler.com","4.0","Bypass","Running","4.5.51209"
"SHHWSR0029.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0030.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"shhwsr0032.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0035.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0038.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"shhwsr0039.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0040.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0041.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"shhwsr0042.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0043.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0048.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"shhwsr0050.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0053.global.schindler.com","4.0","Restricted","Running","4.5.51209"
"SHHWSR0054.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"SHHWSR0055.global.schindler.com","2.0","Restricted","Running","4.5.51209"
