"PSComputerName","Name","IsDomainAccount","AdminByMemberOf"
"SCHWSR0015.global.schindler.com","admwuerscda","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0015.global.schindler.com","retired9770_admmangolpa","True","SHH_RES_SY_SERVER_ADMIN"
"SCHWSR0015.global.schindler.com","admgraciam1","True","SCH_RES_SY_SERVER_ADMIN"
"SCHWSR0015.global.schindler.com","admjennymi","True","SCH_RES_SY_SERVER_ADMIN"
"SCHWSR0015.global.schindler.com","admortize1","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admgashiko","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admheaumola","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admseignova","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admmasidlu","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admgraciam1","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admdediegbl","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admbarceljo","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admlabodilu","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","retired177153_admhaastrwa","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","svcinfwsusmgt","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admvallesju","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admmarquea8","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admgarciaf19","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admniffeler","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admspyragr","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","svcinfsitescope","True","INF_GR_INF_SERVER_MGT"
"SCHWSR0015.global.schindler.com","admmorenagi","True","INF_GR_INF_SERVER_MGT"
