#TYPE Selected.System.Management.ManagementObject
"__SERVER","ServerComment","Logfiledirectory"
"SHHWSR0482","SharePoint - eforms-quali.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0482","sap","C:\inetpub\logs\LogFiles"
"SHHWSR0482","SharePoint - deu-ni-quali.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0482","SharePoint - deucommunityt.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0483","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0483","SharePoint - apple.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0483","SharePoint - yourfirstchoice.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0483","SharePoint - project-wiki.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0483","SharePoint - dtfcommunity.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0483","sap","C:\inetpub\logs\LogFiles"
"SHHWSR0483","SharePoint - eforms.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0483","SharePoint - deucommunity.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0493","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0493","ApplicationManager","C:\inetpub\logs\LogFiles"
"SHHWSR0501","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0501","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0502","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0502","BackupCheck","C:\inetpub\logs\LogFiles"
"SHHWSR0521","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0521","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0524","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0524","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0524","BackupCheck","C:\inetpub\logs\LogFiles"
"SHHWSR0544","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0544","RM","C:\inetpub\logs\LogFiles"
"SHHWSR0544","RMDAL","C:\inetpub\logs\LogFiles"
"SHHWSR0544","TACom","C:\inetpub\logs\LogFiles"
"SHHWSR0570","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0570","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0571","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0571","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0572","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0572","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0572","BackupCheck","C:\inetpub\logs\LogFiles"
"SHHWSR0579","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0580","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0582","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0582","SharePoint Web Services","C:\inetpub\logs\LogFiles"
"SHHWSR0582","BI","C:\inetpub\logs\LogFiles"
"SHHWSR0582","MyProfiles","C:\inetpub\logs\LogFiles"
"SHHWSR0582","Project","C:\inetpub\logs\LogFiles"
"SHHWSR0582","Team","C:\inetpub\logs\LogFiles"
"SHHWSR0582","Workspace","C:\inetpub\logs\LogFiles"
"SHHWSR0584","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0584","MyProfiles","C:\inetpub\logs\LogFiles"
"SHHWSR0584","SharePoint Web Services","C:\inetpub\logs\LogFiles"
"SHHWSR0584","Team","C:\inetpub\logs\LogFiles"
"SHHWSR0584","Project","C:\inetpub\logs\LogFiles"
"SHHWSR0584","SharePoint Central Administration v4","C:\inetpub\logs\LogFiles"
"SHHWSR0584","BI","C:\inetpub\logs\LogFiles"
"SHHWSR0584","Workspace","C:\inetpub\logs\LogFiles"
"SHHWSR0585","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0585","SharePoint Web Services","C:\inetpub\logs\LogFiles"
"SHHWSR0585","BI","C:\inetpub\logs\LogFiles"
"SHHWSR0585","MyProfiles","C:\inetpub\logs\LogFiles"
"SHHWSR0585","Project","C:\inetpub\logs\LogFiles"
"SHHWSR0585","Team","C:\inetpub\logs\LogFiles"
"SHHWSR0585","Workspace","C:\inetpub\logs\LogFiles"
"SHHWSR0602","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0602","SharePoint Web Services","C:\inetpub\logs\LogFiles"
"SHHWSR0602","MyProfiles","C:\inetpub\logs\LogFiles"
"SHHWSR0602","Team","C:\inetpub\logs\LogFiles"
"SHHWSR0602","Project","C:\inetpub\logs\LogFiles"
"SHHWSR0602","SharePoint Central Administration v4","C:\inetpub\logs\LogFiles"
"SHHWSR0602","BI","C:\inetpub\logs\LogFiles"
"SHHWSR0602","Workspace","C:\inetpub\logs\LogFiles"
"SHHWSR0607","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0607","SharePoint Web Services","C:\inetpub\logs\LogFiles"
"SHHWSR0607","SharePoint Central Administration v4","C:\inetpub\logs\LogFiles"
"SHHWSR0607","SPAPP","C:\inetpub\logs\LogFiles"
"SHHWSR0607","DigitalServiceCatalog","C:\inetpub\logs\LogFiles"
"TRDWSR0012","Default Web Site","C:\inetpub\logs\LogFiles"
"TRDWSR0012","SharePoint Web Services","C:\inetpub\logs\LogFiles"
"TRDWSR0012","SP_Intranet","C:\inetpub\logs\LogFiles"
"TRDWSR0012","SP_People","C:\inetpub\logs\LogFiles"
"TRDWSR0012","SharePoint Central Administration v4","C:\inetpub\logs\LogFiles"
"TRDWSR0012","SharePointLMS - lms-trd-dev.global.schindler.com","C:\inetpub\logs\LogFiles"
"TRDWSR0013","Default Web Site","C:\inetpub\logs\LogFiles"
"TRDWSR0013","SharePoint Web Services","C:\inetpub\logs\LogFiles"
"TRDWSR0013","SP_Intranet","C:\inetpub\logs\LogFiles"
"TRDWSR0013","SP_People","C:\inetpub\logs\LogFiles"
"TRDWSR0013","SharePoint Central Administration v4","C:\inetpub\logs\LogFiles"
"TRDWSR0014","Default Web Site","C:\inetpub\logs\LogFiles"
"TRDWSR0014","SP_Intranet","C:\inetpub\logs\LogFiles"
"TRDWSR0014","SP_People","C:\inetpub\logs\LogFiles"
"TRDWSR0014","SharePoint Web Services","C:\inetpub\logs\LogFiles"
"TRDWSR0014","SharePoint Central Administration v4","C:\inetpub\logs\LogFiles"
