#TYPE Selected.System.Management.ManagementObject
"__SERVER","ServerComment","Logfiledirectory"
"SHHWSR0483","SharePoint - eforms.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0483","SharePoint - deucommunity.schindler.com443","C:\inetpub\logs\LogFiles"
"INFWSR0003","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0349","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0349","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0349","BackupCheck","C:\inetpub\logs\LogFiles"
"SCHWSR0031","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0234","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0234","SITE_2","C:\inetpub\logs\LogFiles"
"SHHWSR0234","Global - 80","C:\inetpub\logs\LogFiles"
"SHHWSR0234","User Profile Maintenance - 55555","C:\inetpub\logs\LogFiles"
"SHHWSR0234","SharePoint Web Services","C:\inetpub\logs\LogFiles"
"SHHWSR0234","SharePoint Central Administration v4","C:\inetpub\logs\LogFiles"
"SHHWSR0234","CSCAppWS","C:\inetpub\logs\LogFiles"
"SHHWSR0237","Default Web Site","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint Web Services","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - 80","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - SalesWiki-quali.schindler.com","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - KLWiki-quali.schindler.com","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - mysite-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - intranetproject-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - 8082","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - gltwiki-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - fieldwikipublishing-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - dtfagora-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - 8083","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint Central Administration v4","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - SEM2015-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - 9090","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - video-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0237","VIDEO","C:\inetpub\logs\LogFiles"
"SHHWSR0237","SharePoint - FieldLinkDev.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - 1000","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - fieldwiki-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0237","SharePoint - eforms-quali.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0237","SharePoint - deu-ni-quali.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0237","SharePoint - deucommunityt.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0238","Default Web Site","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - 80","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - 8082","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - dtfagora-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - fieldwikipublishing-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - gltwiki-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - intranetproject-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - KLWiki-quali.schindler.com","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - mysite-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - SalesWiki-quali.schindler.com","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint Web Services","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint Central Administration v4","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - 8083","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - SEM2015-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - 9090","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - video-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - FieldLinkDev.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - 1000","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - fieldwiki-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0238","SharePoint - eforms-quali.schindler.com443","C:\inetpub\logs\LogFiles"
