#TYPE Selected.System.Int32
"PSComputerName","Value"
"SHHWSR0030.global.schindler.com","RemoteSigned"
"SHHWSR0032.global.schindler.com","RemoteSigned"
"SHHWSR0035.global.schindler.com","RemoteSigned"
"SHHWSR0036.global.schindler.com","RemoteSigned"
"SHHWSR0038.global.schindler.com","RemoteSigned"
"SHHWSR0039.global.schindler.com","RemoteSigned"
"SHHWSR0040.global.schindler.com","RemoteSigned"
"SHHWSR0041.global.schindler.com","RemoteSigned"
"SHHWSR0042.global.schindler.com","RemoteSigned"
"SHHWSR0043.global.schindler.com","RemoteSigned"
"SHHWSR0048.global.schindler.com","RemoteSigned"
"SHHWSR0053.global.schindler.com","Restricted"
"SHHWSR0054.global.schindler.com","RemoteSigned"
"SHHWSR0055.global.schindler.com","Restricted"
"SHHWSR0057.global.schindler.com","RemoteSigned"
"SHHWSR0060.global.schindler.com","RemoteSigned"
"SHHWSR0061.global.schindler.com","RemoteSigned"
"SHHWSR0062.global.schindler.com","RemoteSigned"
"SHHWSR0063.global.schindler.com","RemoteSigned"
"SHHWSR0064.global.schindler.com","RemoteSigned"
"SHHWSR0065.global.schindler.com","RemoteSigned"
"SHHWSR0066.global.schindler.com","RemoteSigned"
"SHHWSR0067.global.schindler.com","RemoteSigned"
"SHHWSR0069.global.schindler.com","RemoteSigned"
"SHHWSR0070.global.schindler.com","RemoteSigned"
"SHHWSR0071.global.schindler.com","RemoteSigned"
"SHHWSR0072.global.schindler.com","Unrestricted"
"SHHWSR0073.global.schindler.com","RemoteSigned"
"SHHWSR0074.global.schindler.com","RemoteSigned"
"SHHWSR0075.global.schindler.com","RemoteSigned"
"SHHWSR0076.global.schindler.com","RemoteSigned"
"SHHWSR0081.global.schindler.com","RemoteSigned"
"SHHWSR0084.global.schindler.com","RemoteSigned"
"SHHWSR0085.global.schindler.com","RemoteSigned"
"SHHWSR0086.global.schindler.com","RemoteSigned"
"SHHWSR0087.global.schindler.com","RemoteSigned"
"SHHWSR0089.global.schindler.com","RemoteSigned"
"SHHWSR0090.global.schindler.com","Restricted"
"SHHWSR0091.global.schindler.com","RemoteSigned"
"SHHWSR0092.global.schindler.com","RemoteSigned"
"SHHWSR0093.global.schindler.com","RemoteSigned"
"SHHWSR0096.global.schindler.com","RemoteSigned"
"SHHWSR0098.global.schindler.com","RemoteSigned"
"SHHWSR0099.global.schindler.com","RemoteSigned"
"SHHWSR0100.global.schindler.com","RemoteSigned"
"SHHWSR0101.global.schindler.com","RemoteSigned"
"SHHWSR0102.global.schindler.com","RemoteSigned"
"SHHWSR0105.global.schindler.com","RemoteSigned"
"SHHWSR0106.global.schindler.com","RemoteSigned"
"SHHWSR0107.global.schindler.com","RemoteSigned"
"SHHWSR0108.global.schindler.com","RemoteSigned"
"SHHWSR0109.global.schindler.com","RemoteSigned"
"SHHWSR0115.global.schindler.com","RemoteSigned"
"SHHWSR0116.global.schindler.com","RemoteSigned"
"SHHWSR0117.global.schindler.com","RemoteSigned"
"SHHWSR0118.global.schindler.com","RemoteSigned"
"SHHWSR0119.global.schindler.com","RemoteSigned"
"SHHWSR0123.global.schindler.com","RemoteSigned"
"SHHWSR0124.global.schindler.com","RemoteSigned"
"SHHWSR0125.global.schindler.com","RemoteSigned"
"SHHWSR0127.global.schindler.com","RemoteSigned"
"SHHWSR0129.global.schindler.com","RemoteSigned"
"SHHWSR0134.global.schindler.com","RemoteSigned"
"SHHWSR0135.global.schindler.com","RemoteSigned"
"SHHWSR0136.global.schindler.com","RemoteSigned"
"shhwsr0137.global.schindler.com","RemoteSigned"
"shhwsr0138.global.schindler.com","RemoteSigned"
"SHHWSR0139.global.schindler.com","Restricted"
"SHHWSR0140.global.schindler.com","RemoteSigned"
"SHHWSR0141.global.schindler.com","RemoteSigned"
"SHHWSR0143.global.schindler.com","RemoteSigned"
"SHHWSR0144.global.schindler.com","RemoteSigned"
"SHHWSR0145.global.schindler.com","RemoteSigned"
"SHHWSR0146.global.schindler.com","RemoteSigned"
"SHHWSR0147.global.schindler.com","RemoteSigned"
"SHHWSR0148.global.schindler.com","RemoteSigned"
"SHHWSR0149.global.schindler.com","RemoteSigned"
"SHHWSR0150.global.schindler.com","RemoteSigned"
"SHHWSR0151.global.schindler.com","RemoteSigned"
"SHHWSR0152.global.schindler.com","RemoteSigned"
"SHHWSR0153.global.schindler.com","RemoteSigned"
"SHHWSR0158.global.schindler.com","RemoteSigned"
"SHHWSR0159.global.schindler.com","RemoteSigned"
"SHHWSR0160.global.schindler.com","RemoteSigned"
"SHHWSR0166.global.schindler.com","RemoteSigned"
"SHHWSR0167.global.schindler.com","RemoteSigned"
"SHHWSR0168.global.schindler.com","Restricted"
"SHHWSR0169.global.schindler.com","RemoteSigned"
"SHHWSR0170.global.schindler.com","RemoteSigned"
"SHHWSR0173.global.schindler.com","Restricted"
"SHHWSR0174.global.schindler.com","RemoteSigned"
"SHHWSR0175.global.schindler.com","RemoteSigned"
"SHHWSR0177.global.schindler.com","RemoteSigned"
"SHHWSR0178.global.schindler.com","RemoteSigned"
"SHHWSR0180.global.schindler.com","RemoteSigned"
"SHHWSR0181.global.schindler.com","RemoteSigned"
"SHHWSR0182.global.schindler.com","RemoteSigned"
"SHHWSR0183.global.schindler.com","RemoteSigned"
"SHHWSR0184.global.schindler.com","RemoteSigned"
"SHHWSR0188.global.schindler.com","RemoteSigned"
"SHHWSR0189.global.schindler.com","RemoteSigned"
"SHHWSR0193.global.schindler.com","RemoteSigned"
"SHHWSR0194.global.schindler.com","RemoteSigned"
"SHHWSR0195.global.schindler.com","RemoteSigned"
"SHHWSR0196.global.schindler.com","RemoteSigned"
"SHHWSR0200.global.schindler.com","RemoteSigned"
"SHHWSR0201.global.schindler.com","RemoteSigned"
"SHHWSR0202.global.schindler.com","Restricted"
"SHHWSR0203.global.schindler.com","RemoteSigned"
"SHHWSR0207.global.schindler.com","Restricted"
"SHHWSR0209.global.schindler.com","Unrestricted"
"SHHWSR0210.global.schindler.com","RemoteSigned"
"SHHWSR0212.global.schindler.com","Restricted"
"SHHWSR0214.global.schindler.com","RemoteSigned"
"SHHWSR0220.global.schindler.com","Unrestricted"
"SHHWSR0221.global.schindler.com","RemoteSigned"
"SHHWSR0222.global.schindler.com","RemoteSigned"
"SHHWSR0224.global.schindler.com","RemoteSigned"
"SHHWSR0225.global.schindler.com","RemoteSigned"
"SHHWSR0227.global.schindler.com","RemoteSigned"
"SHHWSR0228.global.schindler.com","RemoteSigned"
"SHHWSR0229.global.schindler.com","Restricted"
"SHHWSR0231.global.schindler.com","RemoteSigned"
"SHHWSR0232.global.schindler.com","Restricted"
"SHHWSR0234.global.schindler.com","RemoteSigned"
"SHHWSR0235.global.schindler.com","RemoteSigned"
"SHHWSR0236.global.schindler.com","RemoteSigned"
"SHHWSR0237.global.schindler.com","RemoteSigned"
"SHHWSR0238.global.schindler.com","RemoteSigned"
"SHHWSR0239.global.schindler.com","RemoteSigned"
"SHHWSR0240.global.schindler.com","RemoteSigned"
"SHHWSR0241.global.schindler.com","RemoteSigned"
"SHHWSR0242.global.schindler.com","RemoteSigned"
"SHHWSR0244.global.schindler.com","RemoteSigned"
"SHHWSR0245.global.schindler.com","RemoteSigned"
"SHHWSR0247.global.schindler.com","RemoteSigned"
"SHHWSR0248.global.schindler.com","RemoteSigned"
"SHHWSR0249.global.schindler.com","RemoteSigned"
"SHHWSR0250.global.schindler.com","RemoteSigned"
"SHHWSR0260.global.schindler.com","RemoteSigned"
