Recommendation;Subscription ID;Subscription Name;Resource Group;Resource Name;Type;Updated Date;Recommendation rule;Potential Annual Retail Cost Savings;Potential Cost Savings Currency;Potential Cost Savings Percentage;CPU (%);Network (%);Memory (%);Look Back Period (Days);Recommended action 1;Recommended action 2;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-cis-prod-network-02;vm-prod-network-slsnwg0001;Virtual machine;2023-07-03T02:17:40.289Z;Unavailable;576.00;USD;;5;0;67;14;Resize Standard_DS3_v2 to Standard_D4s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-cis-prod-network-02;vm-prod-network-slsnwg0002;Virtual machine;2023-07-03T03:24:17.188Z;Unavailable;576.00;USD;;9;0;67;14;Resize Standard_DS3_v2 to Standard_D4s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-cis-prod-network-04;testvm;Virtual machine;2023-07-03T04:21:48.743Z;Unavailable;3,132.00;USD;;3;0;41;14;Resize Standard_DS3_v2 to Standard_D2s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-scn-prod-applicationweb-01;vm-prod-scf-e-sign-application-scnwsr4101;Virtual machine;2023-07-03T02:10:20.580Z;Unavailable;3,924.00;USD;;9;0;41;14;Resize Standard_F8s_v2 to Standard_E2s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;59c20947-4965-45c4-99f3-12be96106119;s-sis-ap-prod-01 (59c20947-4965-45c4-99f3-12be96106119);rg-scn-prod-commercialapprovalplatform-01;scnwsr4104;Virtual machine;2023-07-03T02:17:37.914Z;Unavailable;3,924.00;USD;;8;0;43;14;Resize Standard_F8s_v2 to Standard_E2s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;75e8f45a-2aca-41b3-83ea-c3ee4c60e579;s-sis-eu-prod-vdi-01 (75e8f45a-2aca-41b3-83ea-c3ee4c60e579);rg-cis-prod-vditest-01;espwcl99086;Virtual machine;2023-07-03T03:48:31.470Z;Unavailable;1,620.00;USD;;5;0;36;14;Resize Standard_F4s_v2 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;75e8f45a-2aca-41b3-83ea-c3ee4c60e579;s-sis-eu-prod-vdi-01 (75e8f45a-2aca-41b3-83ea-c3ee4c60e579);rg-cis-prod-vditest-01;zzzwcl99202-tstglobal;Virtual machine;2023-07-03T04:40:49.321Z;Unavailable;96.00;USD;;8;0;28;14;Resize Standard_D2s_v3 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;7fa3c3a2-7d0d-4987-a30c-30623e38756c;s-sis-eu-nonprod-01 (7fa3c3a2-7d0d-4987-a30c-30623e38756c);rg-shh-dev-ioeevpntermination-01;shhlsr0099;Virtual machine;2023-07-03T02:10:10.582Z;Unavailable;264.00;USD;;4;0;21;14;Resize Standard_D2ds_v4 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;7fa3c3a2-7d0d-4987-a30c-30623e38756c;s-sis-eu-nonprod-01 (7fa3c3a2-7d0d-4987-a30c-30623e38756c);rg-shh-qual-sap-01;shhlsr6001;Virtual machine;2023-07-03T03:10:13.224Z;Unavailable;11,628.00;USD;;8;0;37;14;Resize Standard_M32ls to Standard_M8ms;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;e03c610e-a71c-4518-a4a3-8ce128fca34d;s-sis-am-prod-01 (e03c610e-a71c-4518-a4a3-8ce128fca34d);rg-cis-prod-network-01;secnwg0001;Virtual machine;2023-07-03T02:17:59.514Z;Unavailable;324.00;USD;;5;0;67;14;Resize Standard_DS3_v2 to Standard_D4s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;e03c610e-a71c-4518-a4a3-8ce128fca34d;s-sis-am-prod-01 (e03c610e-a71c-4518-a4a3-8ce128fca34d);rg-cis-prod-network-01;secnwg0002;Virtual machine;2023-07-03T03:31:26.202Z;Unavailable;324.00;USD;;4;0;65;14;Resize Standard_DS3_v2 to Standard_D4s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;fc986840-4602-40b6-be2f-69cd5c3ea428;s-sis-ch-nonprod-01 (fc986840-4602-40b6-be2f-69cd5c3ea428);rg-crd-dev-jama-01;crdlsr0031;Virtual machine;2023-07-03T03:45:10.776Z;Unavailable;5,532.00;USD;;9;0;16;14;Resize Standard_F16s_v2 to Standard_F4s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;fc986840-4602-40b6-be2f-69cd5c3ea428;s-sis-ch-nonprod-01 (fc986840-4602-40b6-be2f-69cd5c3ea428);rg-crd-dev-pcm2integrity-01;crdwsr0208;Virtual machine;2023-07-03T04:24:02.829Z;Unavailable;23,592.00;USD;;8;0;17;14;Resize Standard_F32s_v2 to Standard_D4s_v3;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;fc986840-4602-40b6-be2f-69cd5c3ea428;s-sis-ch-nonprod-01 (fc986840-4602-40b6-be2f-69cd5c3ea428);rg-crd-qual-oneintegrity-01;shhwsr2197;Virtual machine;2023-07-03T04:40:48.461Z;Unavailable;13,740.00;USD;;5;0;25;14;Resize Standard_F32s_v2 to Standard_F16s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;fc986840-4602-40b6-be2f-69cd5c3ea428;s-sis-ch-nonprod-01 (fc986840-4602-40b6-be2f-69cd5c3ea428);rg-crd-qual-wibu-01;shhxap0322;Virtual machine;2023-07-03T02:10:21.424Z;Unavailable;924.00;USD;;6;0;27;14;Resize Standard_F4s_v2 to Standard_F2s_v2;View Usage Patterns;
Right-size or shutdown underutilized virtual machines;fc986840-4602-40b6-be2f-69cd5c3ea428;s-sis-ch-nonprod-01 (fc986840-4602-40b6-be2f-69cd5c3ea428);rg-crd-qual-wibu-01;shhxap0323;Virtual machine;2023-07-03T02:44:48.946Z;Unavailable;924.00;USD;;2;0;15;14;Resize Standard_F4s_v2 to Standard_F2s_v2;View Usage Patterns;
